"","fixed acidity","volatile acidity","citric acid","residual sugar","chlorides","free sulfur dioxide","total sulfur dioxide","density","pH","sulphates","alcohol","quality"
"1",8.4,0.24,0.49,7.4,0.039,46,108,0.9934,3.03,0.33,11.9,7
"2",6.4,0.42,0.46,8.4,0.05,58,180,0.99495,3.18,0.46,9.7,6
"3",8.4,0.2,0.38,11.8,0.055,51,170,1.0004,3.34,0.82,8.9,6
"4",6.5,0.17,0.33,1.4,0.028,14,99,0.9928,3.23,0.55,10.1,6
"5",6.6,0.38,0.15,4.6,0.044,25,78,0.9931,3.11,0.38,10.2,6
"6",6.2,0.3,0.32,1.3,0.054,27,183,0.99266,3.3,0.43,10.1,5
"7",6.3,0.27,0.37,7.9,0.047,58,215,0.99542,3.19,0.48,9.5,6
"8",7.8,0.18,0.31,12.2,0.053,46,140,0.998,3.06,0.53,8.9,6
"9",5.4,0.3,0.3,1.2,0.029,25,93,0.98742,3.31,0.4,13.6,7
"10",6.8,0.17,0.17,5.1,0.049,26,82,0.993,3,0.38,9.8,6
"11",6.5,0.23,0.25,17.3,0.046,15,110,0.99828,3.15,0.42,9.2,6
"12",4.8,0.65,0.12,1.1,0.013,4,10,0.99246,3.32,0.36,13.5,4
"13",6,0.44,0.26,3.1,0.053,57,128,0.98982,3.22,0.39,12.7,6
"14",7.4,0.37,0.35,5.7,0.061,12,94,0.9965,3.48,0.69,10.7,6
"15",6.7,0.33,0.42,6.4,0.058,27,151,0.9954,3.16,0.44,9.6,5
"16",5.7,0.14,0.3,5.4,0.045,26,105,0.99469,3.32,0.45,9.3,5
"17",6.9,0.18,0.36,1.3,0.036,40,117,0.9934,3.27,0.95,9.5,7
"18",7,0.34,0.39,6.9,0.066,43,162,0.99561,3.11,0.53,9.5,5
"19",6.7,0.13,0.57,6.6,0.056,60,150,0.99548,2.96,0.43,9.4,6
"20",6.8,0.39,0.34,7.4,0.02,38,133,0.99212,3.18,0.44,12,7
"21",8.4,0.22,0.3,1.3,0.038,45,122,0.99178,3.13,0.54,10.8,7
"22",8.3,0.25,0.33,2.5,0.053,12,72,0.99404,2.89,0.48,9.5,5
"23",6.7,0.4,0.22,8.8,0.052,24,113,0.99576,3.22,0.45,9.4,5
"24",7.9,0.22,0.24,4.6,0.044,39,159,0.9927,2.99,0.28,11.5,6
"25",7.5,0.2,0.41,1.2,0.05,26,131,0.99133,3.19,0.52,11.1,5
"26",6.6,0.27,0.33,1.4,0.042,24,183,0.99215,3.29,0.46,10.7,5
"27",7.2,0.22,0.49,1,0.045,34,140,0.99,3.05,0.34,12.7,6
"28",8.3,0.27,0.45,1.3,0.048,8,72,0.9944,3.08,0.61,10.3,4
"29",7.1,0.47,0.29,14.8,0.024,22,142,0.99518,3.12,0.48,12,8
"30",6.4,0.2,0.22,7.4,0.032,53,172,0.99404,3.24,0.58,11,6
"31",7,0.45,0.34,19.8,0.04,12,67,0.9976,3.07,0.38,11,6
"32",7.9,0.35,0.24,15.6,0.072,44,229,0.99785,3.03,0.59,10.5,6
"33",6.7,0.22,0.37,1.6,0.028,24,102,0.9913,3.29,0.59,11.6,7
"34",6.2,0.16,0.32,1.1,0.036,74,184,0.99096,3.22,0.41,11,6
"35",6.8,0.12,0.31,5.2,0.045,29,120,0.9942,3.41,0.46,9.8,7
"36",5.2,0.22,0.46,6.2,0.066,41,187,0.99362,3.19,0.42,9.73333333333333,5
"37",7.6,0.3,0.4,2.2,0.054,29,175,0.99445,3.19,0.53,9.8,5
"38",7.8,0.445,0.56,1,0.04,8,84,0.9938,3.25,0.43,10.8,5
"39",7,0.2,0.34,5.7,0.035,32,83,0.9928,3.19,0.46,11.5,6
"40",5.6,0.175,0.29,0.8,0.043,20,67,0.99112,3.28,0.48,9.9,6
"41",7.6,0.31,0.49,13.4,0.062,50,191,0.9989,3.22,0.53,9,4
"42",6.1,0.23,0.27,9.8,0.055,74,134,0.99534,3.16,0.4,10.2,6
"43",7.1,0.19,0.28,3.6,0.033,16,78,0.993,2.91,0.78,11.4,6
"44",7.2,0.27,0.28,15.2,0.046,6,41,0.99665,3.17,0.39,10.9,6
"45",7.3,0.18,0.65,1.4,0.046,28,157,0.9946,3.33,0.62,9.4,6
"46",6,0.25,0.28,7.7,0.053,37,132,0.99489,3.06,0.5,9.4,6
"47",6.15,0.21,0.37,3.2,0.021,20,80,0.99076,3.39,0.47,12,5
"48",5.8,0.36,0.26,3.3,0.038,40,153,0.9911,3.34,0.55,11.3,6
"49",6.6,0.25,0.3,1.6,0.046,32,134,0.993,3.42,0.51,10.1,7
"50",5.9,0.21,0.31,1.8,0.033,45,142,0.98984,3.35,0.5,12.7,6
"51",7,0.27,0.74,1.3,0.173,34,121,0.99334,3.04,0.46,9.2,6
"52",6.4,0.18,0.32,9.6,0.052,24,90,0.9963,3.35,0.49,9.4,6
"53",6.4,0.35,0.35,5.6,0.034,9,148,0.99441,3.17,0.5,9.8,4
"54",6.7,0.24,0.26,12.6,0.053,44,182,0.99802,3.42,0.42,9.7,5
"55",5.3,0.36,0.27,6.3,0.028,40,132,0.99186,3.37,0.4,11.6,6
"56",7.1,0.47,0.29,14.8,0.024,22,142,0.99518,3.12,0.48,12,8
"57",7,0.17,0.36,6.4,0.055,42,123,0.99318,3.11,0.5,11,8
"58",6.2,0.36,0.14,8.9,0.036,38,155,0.99622,3.27,0.5,9.4,5
"59",7.2,0.24,0.28,1.9,0.032,30,92,0.9914,3.1,0.39,10.9,6
"60",6,0.26,0.29,3.1,0.041,37,144,0.98944,3.22,0.39,12.8,7
"61",6.5,0.32,0.12,11.5,0.033,35,165,0.9974,3.22,0.32,9,5
"62",6,0.29,0.41,10.8,0.048,55,149,0.9937,3.09,0.59,11,7
"63",6.2,0.25,0.31,3.2,0.03,32,150,0.99014,3.18,0.31,12,6
"64",6.4,0.16,0.42,1,0.036,29,113,0.9908,3.18,0.52,11,6
"65",7.6,0.3,0.38,2.1,0.043,10,98,0.99296,3.17,0.65,11,5
"66",7.1,0.12,0.32,9.6,0.054,64,162,0.9962,3.4,0.41,9.4,5
"67",6.8,0.15,0.41,12.9,0.044,79.5,183,0.99742,3.24,0.78,10.2,6
"68",6,0.27,0.19,1.7,0.02,24,110,0.9898,3.32,0.47,12.6,7
"69",6.5,0.33,0.28,6.1,0.018,41,103,0.99122,3.24,0.32,12.2,6
"70",6.6,0.28,0.23,10.4,0.049,45,190,0.99754,3.12,0.51,8.8,5
"71",7.3,0.25,0.26,7.2,0.048,52,207,0.99587,3.12,0.37,9.2,5
"72",6.5,0.36,0.36,6.7,0.185,51.5,151,0.99528,3.17,0.42,9.3,5
"73",6.6,0.085,0.33,1.4,0.036,17,109,0.99306,3.27,0.61,9.5,6
"74",6.4,0.25,0.57,1,0.062,21,122,0.99238,3,0.4,9.5,5
"75",6.4,0.475,0.06,1,0.03,9,131,0.9904,2.97,0.29,10.8,5
"76",8.8,0.33,0.36,2.1,0.034,19,125,0.99166,2.96,0.98,12.7,6
"77",5.8,0.3,0.42,1.1,0.036,19,113,0.98871,3.1,0.46,12.6,7
"78",6.9,0.52,0.54,7.9,0.036,23,169,0.99267,3.26,0.47,12.2,6
"79",6.5,0.5,0.22,4.1,0.036,35,131,0.9902,3.26,0.55,13,7
"80",7.5,0.29,0.26,14.95,0.067,47,178,0.99838,3.04,0.49,9.2,4
"81",7.2,0.23,0.32,8.5,0.058,47,186,0.9956,3.19,0.4,9.9,6
"82",6,0.19,0.71,1.5,0.152,9,55,0.9927,3.12,0.46,9.8,6
"83",7.1,0.28,0.31,1.5,0.053,20,98,0.99069,3.15,0.5,11.4,5
"84",5.9,0.18,0.29,4.6,0.032,68,137,0.99159,3.21,0.38,11.3,6
"85",6.5,0.21,0.51,17.6,0.045,34,125,0.99966,3.2,0.47,8.8,6
"86",5.7,0.25,0.32,12.2,0.041,43,127,0.99524,3.23,0.53,10.4,7
"87",8.1,0.24,0.32,10.5,0.03,34,105,0.99407,3.11,0.42,11.8,6
"88",7.1,0.36,0.37,4.8,0.019,39,114,0.99036,3.08,0.49,12.7,7
"89",7.2,0.21,1,1.1,0.154,46,114,0.9931,2.95,0.43,9.2,6
"90",5.7,0.26,0.3,1.8,0.039,30,105,0.98995,3.48,0.52,12.5,7
"91",5.6,0.245,0.32,1.1,0.047,24,152,0.9927,3.12,0.42,9.3,6
"92",5.8,0.39,0.47,7.5,0.027,12,88,0.9907,3.38,0.45,14,6
"93",5.7,0.43,0.3,5.7,0.039,24,98,0.992,3.54,0.61,12.3,7
"94",7.3,0.22,0.26,1.5,0.04,32,172,0.99194,3.27,0.48,11.2,6
"95",6.7,0.31,0.09,1.4,0.039,53,141,0.99206,3.12,0.44,10.1,5
"96",6.8,0.32,0.32,8.7,0.029,31,105,0.99146,3,0.34,12.3,7
"97",6.4,0.24,0.22,1.5,0.038,38,157,0.9934,3.41,0.55,9.9,6
"98",6.5,0.18,0.41,14.2,0.039,47,129,0.99678,3.28,0.72,10.3,7
"99",6.2,0.22,0.2,20.8,0.035,58,184,1.00022,3.11,0.53,9,6
"100",5.3,0.36,0.27,6.3,0.028,40,132,0.99186,3.37,0.4,11.6,6
"101",6.7,0.17,0.37,2,0.039,34,125,0.9922,3.26,0.6,10.8,7
"102",6.5,0.22,0.19,1.1,0.064,36,191,0.99297,3.05,0.5,9.5,6
"103",7.9,0.33,0.26,1.2,0.044,23,103,0.9932,3.19,0.54,10.5,6
"104",6.1,0.24,0.27,9.8,0.062,33,152,0.9966,3.31,0.47,9.5,6
"105",6.5,0.425,0.4,13.1,0.038,59,241,0.9979,3.23,0.57,9,5
"106",5.9,0.2,0.23,1.5,0.037,38,93,0.99021,3.36,0.49,12,6
"107",5.4,0.53,0.16,2.7,0.036,34,128,0.98856,3.2,0.53,13.2,8
"108",6,0.29,0.2,12.6,0.045,45,187,0.9972,3.33,0.42,9.5,5
"109",5.9,0.32,0.26,1.5,0.057,17,141,0.9917,3.24,0.36,10.7,5
"110",7.7,0.22,0.42,1.9,0.052,10,87,0.9922,3.3,0.49,11.8,6
"111",6.9,0.54,0.32,13.2,0.05,53,236,0.9973,3.2,0.5,9.6,5
"112",8.5,0.19,0.49,3.5,0.044,29,117,0.9938,3.14,0.51,10.1,6
"113",7.1,0.18,0.42,1.4,0.045,47,157,0.9916,2.95,0.31,10.5,6
"114",5.1,0.52,0.06,2.7,0.052,30,79,0.9932,3.32,0.43,9.3,5
"115",4.9,0.345,0.34,1,0.068,32,143,0.99138,3.24,0.4,10.1,5
"116",8.3,0.33,0.42,1.15,0.033,18,96,0.9911,3.2,0.32,12.4,3
"117",5.6,0.23,0.29,3.1,0.023,19,89,0.99068,3.25,0.51,11.2,6
"118",7.1,0.27,0.24,12.6,0.044,48,118,0.99726,3.04,0.56,10,7
"119",6.4,0.29,0.2,15.6,0.04,20,142,0.9962,3.1,0.54,10.6,5
"120",6.3,0.29,0.3,8.1,0.212,60,150,0.9958,3.1,0.4,9.3,5
"121",7.8,0.24,0.32,12.2,0.054,42,138,0.9984,3.01,0.54,8.8,5
"122",7.8,0.25,0.37,1,0.043,10,80,0.99128,3.08,0.38,11.4,5
"123",6.6,0.2,0.27,10.9,0.038,29,130,0.99496,3.11,0.44,10.5,7
"124",6.1,0.28,0.25,17.75,0.044,48,161,0.9993,3.34,0.48,9.5,5
"125",6.6,0.25,0.36,8.1,0.045,54,180,0.9958,3.08,0.42,9.2,5
"126",7.1,0.18,0.32,12.2,0.048,36,125,0.9967,2.92,0.54,9.4,6
"127",6.6,0.31,0.28,1.4,0.035,28,107,0.98836,3,0.4,13.2,6
"128",7,0.19,0.23,5.7,0.123,27,104,0.9954,3.04,0.54,9.4,6
"129",6.6,0.26,0.27,11.8,0.048,28,112,0.99606,2.87,0.49,9.7,6
"130",6,0.32,0.3,1.3,0.025,18,112,0.98802,3.07,0.64,13.3,7
"131",6.6,0.25,0.3,14.4,0.052,40,183,0.998,3.02,0.5,9.1,6
"132",7.4,0.27,0.49,1.1,0.037,33,156,0.992,3.15,0.54,11.1,6
"133",6.6,0.28,0.36,1.7,0.038,22,101,0.9912,3.29,0.57,11.6,6
"134",8,0.26,0.28,4.8,0.05,34,150,0.99437,3.13,0.5,10,6
"135",6.5,0.19,0.34,1.6,0.029,39,116,0.98954,3.21,0.68,12.5,6
"136",7.4,0.3,0.49,8.2,0.055,49,188,0.9974,3.52,0.58,9.7,6
"137",8.3,0.2,0.49,1.7,0.04,34,169,0.9938,3.05,0.37,10.1,5
"138",6.5,0.19,0.27,4.9,0.037,13,101,0.9916,3.17,0.41,11.8,6
"139",6.4,0.21,0.34,16.05,0.04,56,142,0.99678,3.11,0.38,10.6,5
"140",8.1,0.28,0.34,1.3,0.035,11,126,0.99232,3.14,0.5,9.8,6
"141",7.4,0.18,0.36,13.1,0.056,72,163,1,3.42,0.35,9.1,6
"142",6.6,0.26,0.27,1.5,0.04,19,114,0.99295,3.36,0.62,10.5,6
"143",7.3,0.42,0.38,6.8,0.045,29,122,0.9925,3.19,0.37,12.6,7
"144",8.5,0.32,0.36,14.9,0.041,47,190,0.9982,3.08,0.31,10,6
"145",7.1,0.26,0.32,14.45,0.074,29,107,0.998,2.96,0.42,9.2,6
"146",8.2,0.52,0.34,1.2,0.042,18,167,0.99366,3.24,0.39,10.6,5
"147",7.2,0.32,0.33,1.4,0.029,29,109,0.9902,3.15,0.51,12.8,7
"148",6.2,0.53,0.02,0.9,0.035,6,81,0.99234,3.24,0.35,9.5,4
"149",7,0.31,0.26,7.4,0.069,28,160,0.9954,3.13,0.46,9.8,6
"150",7.2,0.26,0.4,6.3,0.047,52,172,0.99573,3.18,0.53,9.5,6
"151",7.3,0.2,0.39,2.3,0.048,24,87,0.99044,2.94,0.35,12,6
"152",6.1,0.18,0.38,2.3,0.033,28,111,0.98962,3.16,0.49,12.4,6
"153",6,0.34,0.32,3.8,0.044,13,116,0.99108,3.39,0.44,11.8,7
"154",7.4,0.24,0.42,14,0.066,48,198,0.9979,2.89,0.42,8.9,6
"155",6.8,0.15,0.41,12.9,0.044,79.5,183,0.99742,3.24,0.78,10.2,6
"156",7.6,0.17,0.46,0.9,0.036,63,147,0.99126,3.02,0.41,10.7,6
"157",7.6,0.38,0.2,3.4,0.046,9,116,0.9944,3.15,0.41,9.4,5
"158",6.6,0.21,0.49,18.15,0.042,41,158,0.9997,3.28,0.39,8.7,6
"159",6.2,0.23,0.36,17.2,0.039,37,130,0.99946,3.23,0.43,8.8,6
"160",6.5,0.25,0.5,7.6,0.047,54,184,0.99572,3.17,0.45,9.2,5
"161",7,0.23,0.26,7.2,0.041,21,90,0.99509,3.22,0.55,9.5,6
"162",7,0.27,0.74,1.5,0.036,27,122,0.9926,3.35,0.48,11.2,6
"163",6.6,0.33,0.24,16.05,0.045,31,147,0.99822,3.08,0.52,9.2,5
"164",7.1,0.26,0.34,14.4,0.067,35,189,0.9986,3.07,0.53,9.1,7
"165",7,0.16,0.32,8.3,0.045,38,126,0.9958,3.21,0.34,9.2,5
"166",7.1,0.28,0.26,1.9,0.049,12,86,0.9934,3.15,0.38,9.4,5
"167",7.3,0.23,0.37,1.8,0.032,60,156,0.992,3.11,0.35,11.1,6
"168",7.4,0.2,1.66,2.1,0.022,34,113,0.99165,3.26,0.55,12.2,6
"169",8,0.29,0.29,13.2,0.046,26,113,0.9983,3.25,0.37,9.7,6
"170",6.4,0.3,0.27,5,0.058,27,151,0.99198,3.22,0.49,12.2,6
"171",7.2,0.25,0.39,18.95,0.038,42,155,0.9999,2.97,0.47,9,6
"172",5.9,0.415,0.02,0.8,0.038,22,63,0.9932,3.36,0.36,9.3,5
"173",6.5,0.28,0.29,2.7,0.038,26,107,0.9912,3.32,0.41,11.6,7
"174",6.5,0.29,0.52,7.9,0.049,35,192,0.99551,3.16,0.51,9.5,6
"175",7.6,0.1,0.33,1,0.031,33,93,0.99094,3.06,0.68,11.2,6
"176",7.2,0.34,0.3,8.4,0.051,40,167,0.99756,3.48,0.62,9.7,5
"177",6.9,0.18,0.38,8.1,0.049,44,176,0.9958,3.3,0.54,9.8,6
"178",5.6,0.35,0.4,6.3,0.022,23,174,0.9922,3.54,0.5,11.6,7
"179",7.4,0.19,0.31,14.5,0.045,39,193,0.9986,3.1,0.5,9.2,6
"180",6,0.25,0.28,7.7,0.053,37,132,0.99489,3.06,0.5,9.4,6
"181",6.1,0.4,0.18,9,0.051,28.5,259,0.9964,3.19,0.5,8.8,5
"182",6.7,0.3,0.5,12.1,0.045,38,127,0.9974,3.04,0.53,8.9,6
"183",6.7,0.18,0.28,10.2,0.039,29,115,0.99469,3.11,0.45,10.9,7
"184",7.9,0.26,0.33,10.3,0.039,73,212,0.9969,2.93,0.49,9.5,6
"185",7,0.39,0.21,10.7,0.098,13,91,0.99657,3.03,0.47,9.3,5
"186",8.1,0.17,0.44,14.1,0.053,43,145,1.0006,3.28,0.75,8.8,8
"187",6.8,0.26,0.33,1.5,0.047,44,167,0.9928,3.12,0.44,10.5,6
"188",6.2,0.3,0.21,1.1,0.032,31,111,0.9889,2.97,0.42,12.2,6
"189",6.7,0.31,0.31,9.9,0.04,10,175,0.9953,3.46,0.55,11.4,4
"190",6.3,0.26,0.24,7.2,0.039,38,172,0.9958,3.49,0.64,9.7,6
"191",6,0.24,0.32,6.3,0.03,34,129,0.9946,3.52,0.41,10.4,5
"192",7.5,0.21,0.34,1.2,0.06,26,111,0.9931,3.51,0.47,10.7,6
"193",6.8,0.14,0.35,1.5,0.047,40,117,0.99111,3.07,0.72,11.1,6
"194",6.6,0.25,0.36,8.1,0.045,54,180,0.9958,3.08,0.42,9.2,5
"195",6.9,0.15,0.28,4.4,0.029,14,107,0.99347,3.24,0.46,10.4,8
"196",7,0.34,0.3,1.8,0.045,44,142,0.9914,2.99,0.45,10.8,6
"197",7.8,0.16,0.41,1.7,0.026,29,140,0.991,3.02,0.78,12.5,6
"198",6.1,0.27,0.32,1.1,0.034,24,110,0.9898,3.36,0.4,12.5,6
"199",7.6,0.22,0.34,9.7,0.035,26,143,0.9965,3.08,0.49,9.8,6
"200",7.1,0.16,0.25,1.3,0.034,28,123,0.9915,3.27,0.55,11.4,6
"201",6.4,0.37,0.37,4.85,0.041,39.5,216.5,0.99432,3.1,0.5,9.8,6
"202",7.2,0.37,0.4,11.6,0.032,34,214,0.9963,3.1,0.51,9.8,6
"203",6.6,0.19,0.33,1.8,0.035,42,148,0.99196,3.15,0.36,10.2,5
"204",7.2,0.16,0.26,7.1,0.054,41,224,0.9966,3.38,0.55,10.1,5
"205",7.1,0.27,0.27,10.4,0.041,26,114,0.99335,3.04,0.52,11.5,7
"206",6.4,0.17,0.27,9.9,0.047,26,101,0.99596,3.34,0.5,9.9,6
"207",5.8,0.555,0.26,4.5,0.053,17,126,0.9943,3.24,0.46,9.1,5
"208",6.2,0.345,0.27,10.1,0.056,38,187,0.99486,3.31,0.56,10.6,5
"209",6.1,0.27,0.31,3.9,0.034,42,137,0.99218,3.24,0.46,10.9,6
"210",7.8,0.34,0.27,1.2,0.04,25,106,0.9932,3.01,0.55,10.4,5
"211",7.8,0.3,0.37,1.3,0.051,16,96,0.9941,3.32,0.62,10,5
"212",6.7,0.36,0.28,8.3,0.034,29,81,0.99151,2.96,0.39,12.5,6
"213",6.7,0.27,0.25,8,0.053,54,202,0.9961,3.22,0.43,9.3,5
"214",6.1,0.27,0.31,1.5,0.035,17,83,0.99076,3.32,0.44,11.1,7
"215",7,0.2,0.38,8.1,0.05,42,173,0.99585,3.3,0.54,9.8,6
"216",6.6,0.18,0.28,3.3,0.044,18,91,0.993,3.42,0.64,10.8,6
"217",6.7,0.35,0.48,8.8,0.056,35,167,0.99628,3.04,0.47,9.4,5
"218",6.4,0.24,0.28,11.5,0.05,34,163,0.9969,3.31,0.45,9.5,5
"219",5.9,0.23,0.24,1.6,0.037,32,115,0.99076,3.21,0.51,11.4,6
"220",6.9,0.21,0.33,1.8,0.034,48,136,0.9899,3.25,0.41,12.6,7
"221",5.8,0.33,0.23,5,0.053,29,106,0.99458,3.13,0.52,9,5
"222",6.8,0.16,0.29,10.4,0.046,59,143,0.99518,3.2,0.4,10.8,6
"223",7,0.36,0.32,10.05,0.045,37,131,0.99352,3.09,0.33,11.7,8
"224",6.8,0.31,0.32,7.6,0.052,35,143,0.9959,3.14,0.38,9,5
"225",6.5,0.24,0.19,1.2,0.041,30,111,0.99254,2.99,0.46,9.4,6
"226",5.9,0.29,0.16,7.9,0.044,48,197,0.99512,3.21,0.36,9.4,5
"227",7.7,0.35,0.46,11.8,0.088,61,183,0.99786,2.86,0.47,9,5
"228",6.8,0.33,0.3,2.1,0.047,35,147,0.9886,3.24,0.56,13.4,6
"229",5.7,0.22,0.22,16.65,0.044,39,110,0.99855,3.24,0.48,9,6
"230",6.3,0.34,0.28,14.7,0.047,49,198,0.9977,3.23,0.46,9.5,5
"231",6.9,0.25,0.35,9.2,0.034,42,150,0.9947,3.21,0.36,11.5,6
"232",6.1,0.34,0.46,4.7,0.029,21,94,0.991,3.29,0.62,12.3,6
"233",6.7,0.39,0.31,2.7,0.054,27,202,0.9948,3.46,0.57,10.5,6
"234",7.1,0.26,0.32,14.45,0.074,29,107,0.998,2.96,0.42,9.2,6
"235",6.2,0.24,0.35,1.2,0.038,22,167,0.9912,3.1,0.48,10.6,6
"236",6,0.16,0.3,6.7,0.043,43,153,0.9951,3.63,0.46,10.6,5
"237",5.4,0.29,0.47,3,0.052,47,145,0.993,3.29,0.75,10,6
"238",6.5,0.29,0.31,1.7,0.035,24,79,0.99053,3.27,0.69,11.4,7
"239",6.2,0.66,0.48,1.2,0.029,29,75,0.9892,3.33,0.39,12.8,8
"240",7.2,0.24,0.27,11.4,0.034,40,174,0.99773,3.2,0.44,9,5
"241",6.4,0.32,0.31,1.9,0.037,34,126,0.99,3.06,0.45,11.8,6
"242",7,0.24,0.3,4.2,0.04,41,213,0.9927,3.28,0.49,11.8,6
"243",6,0.32,0.3,1.9,0.033,41,142,0.98912,3.29,0.42,12.8,7
"244",5.8,0.26,0.29,1,0.042,35,101,0.99044,3.36,0.48,11.4,7
"245",6.8,0.22,0.26,1.2,0.041,29,182,0.99104,3.04,0.35,11.2,5
"246",6.3,0.18,0.22,1.5,0.043,45,155,0.99238,3.19,0.48,10.2,5
"247",7.3,0.28,0.35,1.6,0.054,31,148,0.99178,3.18,0.47,10.7,5
"248",6.3,0.23,0.33,6.9,0.052,23,118,0.9938,3.23,0.46,10.4,6
